index,year,week,deaths,year.month,n_days,deaths.s,pop.65to80,temp.max,temp.min,t.min2,t.min,t.max,deaths.pc,counter
1995.1,1995,1,1037,1995.01,1,907.375,1557819,NA,NA,NA,NA,NA,6.656742535557725e-4,-14
1995.2,1995,2,955,1995.01,0,955,1557819,NA,NA,NA,NA,NA,6.130365594462514e-4,-14
1995.3,1995,3,888,1995.01,0,888,1557819,NA,NA,NA,NA,NA,5.700277118201794e-4,-14
1995.4,1995,4,880,1995.01,0,880,1557819,NA,NA,NA,NA,NA,5.648923270290066e-4,-14
1995.5,1995,5,874,1995.01,0,874,1557819,NA,NA,NA,NA,NA,5.61040788435627e-4,-14
1995.6,1995,6,879,1995.02,0,879,1557819,NA,NA,NA,NA,NA,5.642504039301099e-4,-14
1995.7,1995,7,888,1995.02,0,888,1557819,NA,NA,NA,NA,NA,5.700277118201794e-4,-14
1995.8,1995,8,838,1995.02,0,838,1557819,NA,NA,NA,NA,NA,5.379315568753495e-4,-14
1995.9,1995,9,852,1995.02,0,852,1557819,NA,NA,NA,NA,NA,5.469184802599018e-4,-14
1995.10,1995,10,986,1995.03,0,986,1557819,NA,NA,NA,NA,NA,6.32936175512046e-4,-14
1995.11,1995,11,980,1995.03,0,980,1557819,NA,NA,NA,NA,NA,6.290846369186664e-4,-14
1995.12,1995,12,958,1995.03,0,958,1557819,NA,NA,NA,NA,NA,6.149623287429412e-4,-14
1995.13,1995,13,923,1995.03,0,923,1557819,NA,NA,NA,NA,NA,5.924950202815604e-4,-14
1995.14,1995,14,901,1995.04,0,901,1557819,NA,NA,NA,NA,NA,5.783727121058352e-4,-14
1995.15,1995,15,970,1995.04,0,970,1557819,NA,NA,NA,NA,NA,6.226654059297004e-4,-14
1995.16,1995,16,937,1995.04,0,937,1557819,NA,NA,NA,NA,NA,6.014819436661127e-4,-14
1995.17,1995,17,906,1995.04,0,906,1557819,NA,NA,NA,NA,NA,5.815823276003182e-4,-14
1995.18,1995,18,928,1995.05,0,928,1557819,NA,NA,NA,NA,NA,5.957046357760433e-4,-14
1995.19,1995,19,869,1995.05,0,869,1557819,NA,NA,NA,NA,NA,5.57831172941144e-4,-14
1995.20,1995,20,893,1995.05,0,893,1557819,NA,NA,NA,NA,NA,5.732373273146623e-4,-14
1995.21,1995,21,877,1995.05,0,877,1557819,NA,NA,NA,NA,NA,5.629665577323167e-4,-14
1995.22,1995,22,895,1995.05,0,895,1557819,NA,NA,NA,NA,NA,5.745211735124555e-4,-14
1995.23,1995,23,810,1995.06,0,810,1557819,NA,NA,NA,NA,NA,5.199577101062447e-4,-14
1995.24,1995,24,859,1995.06,0,859,1557819,NA,NA,NA,NA,NA,5.514119419521781e-4,-14
1995.25,1995,25,850,1995.06,0,850,1557819,NA,NA,NA,NA,NA,5.456346340621086e-4,-14
1995.26,1995,26,924,1995.06,0,924,1557819,NA,NA,NA,NA,NA,5.931369433804569e-4,-14
1995.27,1995,27,873,1995.07,0,873,1557819,NA,NA,NA,NA,NA,5.603988653367304e-4,-14
1995.28,1995,28,931,1995.07,0,931,1557819,NA,NA,NA,NA,NA,5.976304050727331e-4,-14
1995.29,1995,29,878,1995.07,0,878,1557819,NA,NA,NA,NA,NA,5.636084808312133e-4,-14
1995.30,1995,30,841,1995.07,0,841,1557819,NA,NA,NA,NA,NA,5.398573261720393e-4,-14
1995.31,1995,31,889,1995.07,0,889,1557819,NA,NA,NA,NA,NA,5.70669634919076e-4,-14
1995.32,1995,32,871,1995.08,0,871,1557819,NA,NA,NA,NA,NA,5.591150191389372e-4,-14
1995.33,1995,33,848,1995.08,0,848,1557819,NA,NA,NA,NA,NA,5.443507878643154e-4,-14
1995.34,1995,34,851,1995.08,0,851,1557819,NA,NA,NA,NA,NA,5.462765571610052e-4,-14
1995.35,1995,35,793,1995.08,0,793,1557819,NA,NA,NA,NA,NA,5.090450174250025e-4,-14
1995.36,1995,36,819,1995.09,0,819,1557819,NA,NA,NA,NA,NA,5.257350179963141e-4,-14
1995.37,1995,37,846,1995.09,0,846,1557819,NA,NA,NA,NA,NA,5.430669416665222e-4,-14
1995.38,1995,38,956,1995.09,0,956,1557819,NA,NA,NA,NA,NA,6.13678482545148e-4,-14
1995.39,1995,39,838,1995.09,0,838,1557819,NA,NA,NA,NA,NA,5.379315568753495e-4,-14
1995.40,1995,40,931,1995.10,0,931,1557819,NA,NA,NA,NA,NA,5.976304050727331e-4,-14
