index,year,week,deaths,year.month,n_days,deaths.s,pop.80plus,temp.max,temp.min,t.min2,t.min,t.max,deaths.pc,counter
1995.1,1995,1,1538,1995.01,1,1345.75,475757,NA,NA,NA,NA,NA,0.003232742765739653,-14
1995.2,1995,2,1357,1995.01,0,1357,475757,NA,NA,NA,NA,NA,0.002852296445454297,-14
1995.3,1995,3,1248,1995.01,0,1248,475757,NA,NA,NA,NA,NA,0.0026231878879343865,-14
1995.4,1995,4,1271,1995.01,0,1271,475757,NA,NA,NA,NA,NA,0.0026715318954844596,-14
1995.5,1995,5,1219,1995.01,0,1219,475757,NA,NA,NA,NA,NA,0.00256223240015386,-14
1995.6,1995,6,1193,1995.02,0,1193,475757,NA,NA,NA,NA,NA,0.0025075826524885605,-14
1995.7,1995,7,1160,1995.02,0,1160,475757,NA,NA,NA,NA,NA,0.0024382195112210643,-14
1995.8,1995,8,1191,1995.02,0,1191,475757,NA,NA,NA,NA,NA,0.0025033788257450757,-14
1995.9,1995,9,1147,1995.02,0,1147,475757,NA,NA,NA,NA,NA,0.002410894637388415,-14
1995.10,1995,10,1271,1995.03,0,1271,475757,NA,NA,NA,NA,NA,0.0026715318954844596,-14
1995.11,1995,11,1334,1995.03,0,1334,475757,NA,NA,NA,NA,NA,0.0028039524379042243,-14
1995.12,1995,12,1312,1995.03,0,1312,475757,NA,NA,NA,NA,NA,0.0027577103437258937,-14
1995.13,1995,13,1213,1995.03,0,1213,475757,NA,NA,NA,NA,NA,0.0025496209199234064,-14
1995.14,1995,14,1324,1995.04,0,1324,475757,NA,NA,NA,NA,NA,0.002782933304186801,-14
1995.15,1995,15,1176,1995.04,0,1176,475757,NA,NA,NA,NA,NA,0.0024718501251689414,-14
1995.16,1995,16,1246,1995.04,0,1246,475757,NA,NA,NA,NA,NA,0.002618984061190902,-14
1995.17,1995,17,1251,1995.04,0,1251,475757,NA,NA,NA,NA,NA,0.0026294936280496137,-14
1995.18,1995,18,1192,1995.05,0,1192,475757,NA,NA,NA,NA,NA,0.002505480739116818,-14
1995.19,1995,19,1089,1995.05,0,1089,475757,NA,NA,NA,NA,NA,0.0022889836618273617,-14
1995.20,1995,20,1126,1995.05,0,1126,475757,NA,NA,NA,NA,NA,0.0023667544565818266,-14
1995.21,1995,21,1099,1995.05,0,1099,475757,NA,NA,NA,NA,NA,0.0023100027955447844,-14
1995.22,1995,22,1076,1995.05,0,1076,475757,NA,NA,NA,NA,NA,0.0022616587879947117,-14
1995.23,1995,23,1024,1995.06,0,1024,475757,NA,NA,NA,NA,NA,0.002152359292664112,-14
1995.24,1995,24,1058,1995.06,0,1058,475757,NA,NA,NA,NA,NA,0.0022238243473033503,-14
1995.25,1995,25,1171,1995.06,0,1171,475757,NA,NA,NA,NA,NA,0.00246134055831023,-14
1995.26,1995,26,1228,1995.06,0,1228,475757,NA,NA,NA,NA,NA,0.0025811496204995407,-14
