index,year,week,deaths,year.month,n_days,deaths.s,pop.w,temp.max,temp.min,t.min2,t.min,t.max,share.80plus,deaths.pc,counter
1995.1,1995,1,1588,1995.01,1,1389.5,7.79664,NA,NA,NA,NA,NA,3.084499720632396,2.036774815818096e-4,-14
1995.2,1995,2,1430,1995.01,0,1430,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.8341234172669253e-4,-14
1995.3,1995,3,1330,1995.01,0,1330,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.7058630384370705e-4,-14
1995.4,1995,4,1298,1995.01,0,1298,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.6648197172115166e-4,-14
1995.5,1995,5,1236,1995.01,0,1236,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.5852982823370067e-4,-14
1995.6,1995,6,1288,1995.02,0,1288,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.6519936793285315e-4,-14
1995.7,1995,7,1251,1995.02,0,1251,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.6045373391614852e-4,-14
1995.8,1995,8,1242,1995.02,0,1242,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.592993905066798e-4,-14
1995.9,1995,9,1227,1995.02,0,1227,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.57375484824232e-4,-14
1995.10,1995,10,1376,1995.03,0,1376,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.7648628126988036e-4,-14
1995.11,1995,11,1404,1995.03,0,1404,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.800775718771163e-4,-14
1995.12,1995,12,1392,1995.03,0,1392,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.7853844733115804e-4,-14
1995.13,1995,13,1286,1995.03,0,1286,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.649428471751934e-4,-14
1995.14,1995,14,1362,1995.04,0,1362,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.746906359662624e-4,-14
1995.15,1995,15,1262,1995.04,0,1262,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.618645980832769e-4,-14
1995.16,1995,16,1353,1995.04,0,1353,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.735362925567937e-4,-14
1995.17,1995,17,1328,1995.04,0,1328,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.703297830860473e-4,-14
1995.18,1995,18,1290,1995.05,0,1290,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.6545588869051284e-4,-14
1995.19,1995,19,1216,1995.05,0,1216,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.559646206571036e-4,-14
1995.20,1995,20,1235,1995.05,0,1235,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.584015678548708e-4,-14
1995.21,1995,21,1245,1995.05,0,1245,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.5968417164316937e-4,-14
1995.22,1995,22,1226,1995.05,0,1226,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.572472244454021e-4,-14
1995.23,1995,23,1139,1995.06,0,1139,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.4608857148720476e-4,-14
1995.24,1995,24,1145,1995.06,0,1145,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.4685813376018387e-4,-14
1995.25,1995,25,1227,1995.06,0,1227,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.57375484824232e-4,-14
1995.26,1995,26,1361,1995.06,0,1361,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.7456237558743253e-4,-14
1995.27,1995,27,1241,1995.07,0,1241,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.5917113012784995e-4,-14
1995.28,1995,28,1465,1995.07,0,1465,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.8790145498573746e-4,-14
1995.29,1995,29,1224,1995.07,0,1224,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.569907036877424e-4,-14
1995.30,1995,30,1240,1995.07,0,1240,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.590428697490201e-4,-14
1995.31,1995,31,1434,1995.07,0,1434,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.8392538324201195e-4,-14
1995.32,1995,32,1259,1995.08,0,1259,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.6147981694678734e-4,-14
1995.33,1995,33,1209,1995.08,0,1209,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.550667980052946e-4,-14
1995.34,1995,34,1196,1995.08,0,1196,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.5339941308050646e-4,-14
1995.35,1995,35,1108,1995.08,0,1108,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.4211249974347925e-4,-14
1995.36,1995,36,1186,1995.09,0,1186,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.5211680929220792e-4,-14
1995.37,1995,37,1144,1995.09,0,1144,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.4672987338135404e-4,-14
1995.38,1995,38,1195,1995.09,0,1195,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.5327115270167662e-4,-14
1995.39,1995,39,1143,1995.09,0,1143,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.4660161300252418e-4,-14
1995.40,1995,40,1223,1995.10,0,1223,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.5686244330891257e-4,-14
1995.41,1995,41,1251,1995.10,0,1251,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.6045373391614852e-4,-14
1995.42,1995,42,1196,1995.10,0,1196,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.5339941308050646e-4,-14
1995.43,1995,43,1232,1995.10,0,1232,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.5801678671838125e-4,-14
1995.44,1995,44,1265,1995.10,0,1265,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.6224937921976648e-4,-14
1995.45,1995,45,1223,1995.11,0,1223,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.5686244330891257e-4,-14
1995.46,1995,46,1362,1995.11,0,1362,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.746906359662624e-4,-14
1995.47,1995,47,1282,1995.11,0,1282,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.64429805659874e-4,-14
1995.48,1995,48,1329,1995.11,0,1329,7.79664,NA,NA,NA,NA,NA,3.084499720632396,1.7045804346487716e-4,-14
