index,year,week,plus80.deaths,plus80.predicted,plus80.excess,f65to80.deaths,f65to80.predicted,f65to80.excess,f0to65.deaths,f0to65.predicted,f0to65.excess
2020.1,2020,1,1341,1431,-90,632,706,-74,272,301,-29
2020.2,2020,2,1966,1855,111,966,951,15,432,418,14
2020.3,2020,3,1827,1866,-39,912,951,-39,418,417,1
2020.4,2020,4,1756,1882,-126,936,951,-15,354,417,-63
2020.5,2020,5,1791,1879,-88,923,949,-26,450,416,34
2020.6,2020,6,1813,1880,-67,982,947,35,401,414,-13
2020.7,2020,7,1852,1878,-26,938,944,-6,408,413,-5
2020.8,2020,8,1749,1873,-124,870,939,-69,340,411,-71
2020.9,2020,9,1783,1865,-82,911,935,-24,404,409,-5
2020.10,2020,10,1824,1854,-30,889,929,-40,394,407,-13
2020.11,2020,11,1860,1840,20,948,923,25,410,405,5
2020.12,2020,12,2086,1823,263,1080,916,164,448,402,46
2020.13,2020,13,2555,1804,751,1402,908,494,501,400,101
2020.14,2020,14,3083,1803,1280,1503,902,601,499,399,100
2020.15,2020,15,3062,1785,1277,1435,900,535,485,398,87
2020.16,2020,16,2648,1735,913,1234,885,349,426,392,34
2020.17,2020,17,2300,1710,590,1155,877,278,455,389,66
2020.18,2020,18,1937,1683,254,1001,869,132,445,387,58
2020.19,2020,19,1683,1656,27,915,862,53,391,385,6
2020.20,2020,20,1568,1629,-61,835,854,-19,374,383,-9
2020.21,2020,21,1598,1627,-29,805,854,-49,367,384,-17
2020.22,2020,22,1503,1610,-107,858,850,8,371,383,-12
2020.23,2020,23,1461,1553,-92,835,836,-1,386,378,8
2020.24,2020,24,1450,1553,-103,834,837,-3,405,380,25
2020.25,2020,25,1466,1557,-91,855,840,15,375,382,-7
2020.26,2020,26,1451,1599,-148,827,854,-27,381,390,-9
2020.27,2020,27,1427,1478,-51,809,822,-13,402,375,27
2020.28,2020,28,1417,1460,-43,812,820,-8,390,375,15
2020.29,2020,29,1380,1484,-104,775,829,-54,373,380,-7
2020.30,2020,30,1443,1474,-31,823,829,-6,407,380,27
2020.31,2020,31,1449,1507,-58,841,841,0,376,386,-10
2020.32,2020,32,1403,1592,-189,819,868,-49,420,400,20
2020.33,2020,33,1818,1630,188,928,882,46,463,406,57
2020.34,2020,34,1576,1532,44,863,857,6,417,394,23
2020.35,2020,35,1517,1450,67,865,836,29,353,383,-30
2020.36,2020,36,1448,1462,-14,828,842,-14,416,385,31
2020.37,2020,37,1448,1481,-33,898,849,49,396,388,8
2020.38,2020,38,1481,1565,-84,845,876,-31,395,400,-5
2020.39,2020,39,1617,1511,106,880,862,18,394,393,1
2020.40,2020,40,1650,1533,117,918,870,48,434,395,39
2020.41,2020,41,1653,1556,97,990,877,113,379,398,-19
2020.42,2020,42,1803,1580,223,987,885,102,432,400,32
2020.43,2020,43,1943,1606,337,1080,893,187,425,403,22
2020.44,2020,44,2112,1632,480,1166,901,265,409,405,4
2020.45,2020,45,2044,1659,385,1111,909,202,434,408,26
2020.46,2020,46,2086,1686,400,1059,916,143,435,410,25
2020.47,2020,47,1835,1712,123,1083,923,160,417,412,5
2020.48,2020,48,1886,1738,148,1083,929,154,436,413,23
2020.49,2020,49,1972,1762,210,1112,935,177,446,415,31
2020.50,2020,50,2048,1785,263,1103,940,163,464,416,48
2020.51,2020,51,2249,1806,443,1188,944,244,472,417,55
