index,year,week,deaths,predicted,excess
2020.1,2020,1,2245,2432,-187
2020.2,2020,2,3364,3237,127
2020.3,2020,3,3157,3248,-91
2020.4,2020,4,3046,3264,-218
2020.5,2020,5,3164,3256,-92
2020.6,2020,6,3196,3254,-58
2020.7,2020,7,3198,3247,-49
2020.8,2020,8,2959,3236,-277
2020.9,2020,9,3098,3220,-122
2020.10,2020,10,3107,3200,-93
2020.11,2020,11,3218,3177,41
2020.12,2020,12,3614,3150,464
2020.13,2020,13,4458,3120,1338
2020.14,2020,14,5085,3114,1971
2020.15,2020,15,4982,3092,1890
2020.16,2020,16,4308,3018,1290
2020.17,2020,17,3910,2981,929
2020.18,2020,18,3383,2943,440
2020.19,2020,19,2989,2905,84
2020.20,2020,20,2777,2868,-91
2020.21,2020,21,2770,2869,-99
2020.22,2020,22,2732,2847,-115
2020.23,2020,23,2682,2766,-84
2020.24,2020,24,2689,2771,-82
2020.25,2020,25,2696,2784,-88
2020.26,2020,26,2659,2852,-193
2020.27,2020,27,2638,2674,-36
2020.28,2020,28,2619,2652,-33
2020.29,2020,29,2528,2695,-167
2020.30,2020,30,2673,2685,-12
2020.31,2020,31,2666,2740,-74
2020.32,2020,32,2642,2874,-232
2020.33,2020,33,3209,2936,273
2020.34,2020,34,2856,2791,65
2020.35,2020,35,2735,2669,66
2020.36,2020,36,2692,2689,3
2020.37,2020,37,2742,2721,21
2020.38,2020,38,2721,2850,-129
2020.39,2020,39,2891,2769,122
2020.40,2020,40,3002,2801,201
2020.41,2020,41,3022,2835,187
2020.42,2020,42,3222,2871,351
2020.43,2020,43,3448,2908,540
2020.44,2020,44,3687,2946,741
2020.45,2020,45,3589,2984,605
2020.46,2020,46,3580,3021,559
2020.47,2020,47,3335,3057,278
2020.48,2020,48,3405,3091,314
2020.49,2020,49,3530,3123,407
2020.50,2020,50,3615,3153,462
2020.51,2020,51,3909,3179,730
2020.52,2020,52,6236,4781,1455
2021.1,2021,1,5886,4457,1429
2021.2,2021,2,3850,3274,576
2021.3,2021,3,3863,3285,578
2021.4,2021,4,3714,3293,421
2021.5,2021,5,3655,3293,362
2021.6,2021,6,3551,3497,54
2021.7,2021,7,3531,3284,247
2021.8,2021,8,3205,3273,-68
2021.9,2021,9,3105,3286,-181
2021.10,2021,10,3244,3237,7
2021.11,2021,11,3044,3214,-170
2021.12,2021,12,3046,3187,-141
2021.13,2021,13,3176,3157,19
2021.14,2021,14,3165,3125,40
2021.15,2021,15,3140,3111,29
2021.16,2021,16,3144,3055,89
2021.17,2021,17,3121,3018,103
2021.18,2021,18,3008,2980,28
2021.19,2021,19,3017,2942,75
2021.20,2021,20,2990,2905,85
2021.21,2021,21,2805,2869,-64
2021.22,2021,22,3010,2934,76
2021.23,2021,23,2884,2910,-26
2021.24,2021,24,2870,2932,-62
2021.25,2021,25,2673,2751,-78
